iter	Logloss
258	0.5907534417
259	0.5906426558
260	0.5905135672
261	0.5903798932
262	0.5902759757
263	0.5901319943
264	0.5899813497
265	0.5898587989
266	0.5897332194
267	0.5896046786
268	0.5894554248
269	0.5893493236
270	0.5892278065
271	0.5891109833
272	0.5889919099
273	0.5888781258
274	0.5887874947
275	0.5886906386
276	0.5886225721
277	0.5885490415
278	0.5884570074
279	0.5883342138
280	0.5882273076
281	0.5881307441
282	0.5880689405
283	0.5879244352
284	0.5878057145
285	0.5876767469
286	0.5875679322
287	0.5874730485
288	0.5873885228
289	0.5872795936
290	0.587106848
291	0.5869643195
292	0.5868052892
293	0.586714612
294	0.5866245816
295	0.5865415498
296	0.5864386712
297	0.5863650509
298	0.5862183933
299	0.5861449516
300	0.5860623022
301	0.5859277034
302	0.58576496
303	0.5856391409
304	0.5855574645
305	0.5854780679
306	0.5853867695
307	0.5852620601
308	0.5851506097
309	0.5849981948
310	0.5849201416
311	0.5848070927
312	0.5847666788
313	0.5846280159
314	0.5845224591
315	0.5844317502
316	0.5843285533
317	0.584244184
318	0.5841759883
319	0.5840606998
320	0.5839583584
321	0.5839139404
322	0.583823496
323	0.5836829645
324	0.5836016235
325	0.5834964057
326	0.5833712538
327	0.5832637467
328	0.5832046782
329	0.5830912007
330	0.5829683011
331	0.5828697202
332	0.5827687313
333	0.5826640101
334	0.5825254021
335	0.5824419347
336	0.5823288219
337	0.5822253425
338	0.5821518197
339	0.5820739393
340	0.5819976576
341	0.5819367172
342	0.5818236994
343	0.5816895404
344	0.5815646942
345	0.5814260711
346	0.5813299306
347	0.5812306631
348	0.5810699674
349	0.5809816756
350	0.5809113768
351	0.5808042904
352	0.5806888076
353	0.5805770938
354	0.5804648014
355	0.5803961566
356	0.5803270357
357	0.5801857393
358	0.5800801389
359	0.5799682726
360	0.5798595983
361	0.5797611555
362	0.5796505995
363	0.5795713788
364	0.5794883931
365	0.579421586
366	0.5792985941
367	0.5792355144
368	0.5791370282
369	0.5790086292
370	0.578942924
371	0.5788145442
372	0.5787535471
373	0.5786889256
374	0.5785401497
375	0.5784808829
376	0.5783791494
377	0.5783189237
378	0.5782250538
379	0.5781673516
380	0.5780643433
381	0.5779172489
382	0.5778274913
383	0.5777440979
384	0.577688914
385	0.5776088121
386	0.5774948001
387	0.577437872
388	0.5773622976
389	0.577248805
390	0.5771306567
391	0.5769821323
392	0.57691096
393	0.5767538622
394	0.5766824058
395	0.576597671
396	0.5764938331
397	0.5764013736
398	0.5762557178
399	0.5761186388
400	0.5760185412
401	0.5759353281
402	0.575800448
403	0.5757210976
404	0.5755800232
405	0.5754643943
406	0.5753575093
407	0.575208019
408	0.5751301415
409	0.5750119247
410	0.5749163955
411	0.574835151
412	0.5747875426
413	0.5746908903
414	0.5746095104
415	0.5744482418
416	0.574278806
417	0.5741802193
418	0.5740629263
419	0.5739583591
420	0.5738657381
421	0.5737703204
422	0.5736693188
423	0.5735092971
424	0.5733966814
425	0.5732892207
426	0.5731778453
427	0.5731004053
428	0.5729444905
429	0.5728617995
430	0.5727659597
431	0.5726371142
432	0.572571651
433	0.572469265
434	0.5723703109
435	0.5722737135
436	0.5721688189
437	0.5720518604
438	0.571967346
439	0.5718266018
440	0.5717482988
441	0.5716540309
442	0.5715759938
443	0.5714703492
444	0.5713674406
445	0.571228984
446	0.5711487665
447	0.5710353549
448	0.5709439806
449	0.5708599628
450	0.5707241138
451	0.5705857318
452	0.5704414587
453	0.5703477333
454	0.5702446646
455	0.5701289777
456	0.5700304919
457	0.5698912382
458	0.5697932677
459	0.5696829809
460	0.5695606989
461	0.5694413977
462	0.5693323483
463	0.5692523538
464	0.5691461899
465	0.5690184968
466	0.5689655231
467	0.5688344413
468	0.5687143912
469	0.5686208286
470	0.5684862492
471	0.5683850056
472	0.5683319988
473	0.5682312358
474	0.5681259941
475	0.5680185489
476	0.5678982893
477	0.5677328169
478	0.5675782825
479	0.5674925953
480	0.5673817075
481	0.5672715519
482	0.5671418684
483	0.5670580429
484	0.5669677066
485	0.5669048756
486	0.5667937796
487	0.5667173078
488	0.5665786559
489	0.5664605339
490	0.5663283371
491	0.5662168942
492	0.566082571
493	0.5660327784
494	0.5659250928
495	0.5658293631
496	0.5657042575
497	0.5656131661
498	0.565476976
499	0.5653488126
500	0.5652604984
501	0.5651799941
502	0.5650667883
503	0.5649924304
504	0.5648646377
505	0.5647945942
506	0.5647124645
507	0.5646574861
508	0.5645652469
509	0.5644489854
510	0.5643650531
511	0.564199027
512	0.5640911762
513	0.5640088352
514	0.5638782407
515	0.5637865689
516	0.5636846573
517	0.5635368559
518	0.5634189803
519	0.5632975093
520	0.5632187188
521	0.5631386412
522	0.5630046269
523	0.5628878885
524	0.5627854978
525	0.5627082796
526	0.5626451485
527	0.5625434852
528	0.5624466725
529	0.5623470361
530	0.5622398232
531	0.562136971
532	0.5620451364
533	0.5619455323
534	0.5618707836
535	0.5618029978
536	0.5616552742
537	0.5615255314
538	0.5614717196
539	0.5613980586
540	0.561289989
541	0.5611683217
542	0.5610871905
543	0.5609552945
544	0.5608658901
545	0.5607640454
546	0.5606225007
547	0.5605160879
548	0.5604621155
549	0.5603843101
550	0.5602943486
551	0.5602073224
552	0.5600631769
553	0.5599662389
554	0.5599218217
555	0.5598292564
556	0.5597072695
557	0.5596178611
558	0.5594911166
559	0.5593598478
560	0.5592632596
561	0.5591534828
562	0.5590151266
563	0.5589529934
564	0.5588995204
565	0.5587916702
566	0.5586488889
567	0.5585817092
568	0.5584972874
569	0.5583519929
570	0.5582519923
571	0.5581138236
572	0.5580121271
573	0.5579049848
574	0.557804082
575	0.5577065644
576	0.5575647956
577	0.5574815304
578	0.5573681201
579	0.5573036645
580	0.5572222576
581	0.5571051829
582	0.5570316361
583	0.5569488557
584	0.5568460872
585	0.5567294713
586	0.556604924
587	0.5564668768
588	0.5563893818
589	0.5562931345
590	0.556202187
591	0.5561200923
592	0.5560436965
593	0.5559716223
594	0.5558664105
595	0.5557861156
596	0.5556665533
597	0.5555489019
598	0.5554901234
599	0.5554108277
600	0.5553455624
601	0.5552423037
602	0.5551331193
603	0.5549647124
604	0.5548589304
605	0.5547758976
606	0.5546774684
607	0.554563825
608	0.5544500542
609	0.5543251972
610	0.55423
611	0.5541326803
612	0.5540287342
613	0.5539166986
614	0.5538349329
615	0.5537618358
616	0.5536218203
617	0.553538618
618	0.553444803
619	0.5533517331
620	0.5532902617
621	0.5531799043
622	0.5530762833
623	0.5529698835
624	0.5528402746
625	0.5526604795
626	0.5525558095
627	0.552464386
628	0.5523421116
629	0.5522763058
630	0.552167294
631	0.5520787277
632	0.5519750064
633	0.5518265302
634	0.5517255001
635	0.5516425305
636	0.5515342027
637	0.5514461306
638	0.5513299046
639	0.5512690368
640	0.5512042593
641	0.5511264428
642	0.5510178672
643	0.5509447391
644	0.5508154219
645	0.5506731399
646	0.550598065
647	0.5505091127
648	0.5504449536
649	0.5503044687
650	0.5501901973
651	0.5500731719
652	0.5500081978
653	0.5499134609
654	0.5498371127
655	0.5497414779
656	0.5496400342
657	0.549529653
658	0.549488943
659	0.5493846451
660	0.5492886748
661	0.5491889324
662	0.5490699275
663	0.5489863303
664	0.5488818259
665	0.5488005543
666	0.5487460936
667	0.5486372515
668	0.5485077496
669	0.5484276255
670	0.54831377
671	0.5482265606
672	0.5481109805
673	0.5480045752
674	0.547903108
675	0.5477424542
676	0.5476548863
677	0.5475621482
678	0.5474462763
679	0.5473620076
680	0.5472992679
681	0.5471991741
682	0.5470889645
683	0.5470162829
684	0.546887624
685	0.5467943255
686	0.5466920019
687	0.5465930427
688	0.5465253323
689	0.5464301292
690	0.5463172185
691	0.5462207509
692	0.546120393
693	0.5460317117
694	0.5459554013
695	0.5458711206
696	0.5457594496
697	0.5456953539
698	0.5455955773
699	0.5454525628
700	0.5453679088
701	0.5452732644
702	0.5451819147
703	0.545085163
704	0.5450111333
705	0.5449205093
706	0.5448491095
707	0.5447479126
708	0.5446352713
709	0.5444705038
710	0.5443851163
711	0.5442691865
712	0.5441501194
713	0.5440733173
714	0.5439599384
715	0.5438394423
716	0.5437382744
717	0.5436538192
718	0.5435473978
719	0.5434741401
720	0.5433832102
721	0.5433030699
722	0.5432248964
723	0.5431158821
724	0.5430111434
725	0.5429135538
726	0.5428245427
727	0.5427320913
728	0.5425977163
729	0.54250976
730	0.5424523124
731	0.5423693793
732	0.5422810219
733	0.5421415236
734	0.5420355445
735	0.5419278015
736	0.5418127462
737	0.541733183
738	0.5416153354
739	0.5415592066
740	0.5415062849
741	0.5414192932
742	0.5413554513
743	0.5412550149
744	0.5411778237
745	0.541086981
746	0.5409785773
747	0.5408453826
748	0.5407425808
749	0.5406526357
750	0.5405604146
751	0.5404545614
752	0.5403603941
753	0.5402301149
754	0.5401565274
755	0.540059283
756	0.5399787691
757	0.5398938785
758	0.5397941432
759	0.539685821
760	0.539612213
761	0.5395419528
762	0.5394238599
763	0.5393508378
764	0.5392747478
765	0.5391493528
766	0.5390443648
767	0.5389405739
768	0.5388003988
769	0.5386811886
770	0.5385928772
771	0.5385197524
772	0.5384371914
773	0.538365733
774	0.5383027263
775	0.5382176564
776	0.5380622213
777	0.5379873123
778	0.53788833
779	0.5378016215
780	0.5377105661
781	0.5376380111
782	0.537567737
783	0.5374841951
784	0.5374226758
785	0.5373321288
786	0.5372773456
787	0.5371141985
788	0.5370728524
789	0.5369870586
790	0.5368913355
791	0.5367742496
792	0.5366989433
793	0.5366304591
794	0.5365011854
795	0.5363729136
796	0.5362449445
797	0.5361780451
798	0.5361080318
799	0.535997422
800	0.5359252861
801	0.535872137
802	0.535795749
803	0.5357388254
804	0.5356627116
805	0.5355856977
806	0.5355114432
807	0.5354384354
